"website","url","latitude","longitude","country","province","city","address","road_margin","schedule","company","sales_type","fuel_type","fuel_price","last_update_date","insert_date"
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/5417,38.020417,-1.160694,ES,MURCIA,CABEZO CORTADO,CARRETERA N-301 KM. 388,I,L-D: 24H,REPSOL,P,SP98,1.719,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/7667,39.468611,-0.433111,ES,VALENCIA / VALÈNCIA,MISLATA,"ACCESO PLAN PARCIAL LES VIÑES CV 403 NUEVO ACCESO A XIRIVELLA C-3215, SN",N,L-D: 06:00-22:00,GALP,P,SP95,1.619,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/13258,42.939611,-6.313667,ES,LEÓN,VILLABLINO,"CALLE SIERRA PAMBLEY, 29",D,L-D: 06:00-22:00,AVIA,P,SP98,1.859,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/15899,28.38975,-16.665028,ES,SANTA CRUZ DE TENERIFE,GUANCHA (LA),CARRETERA TF-5 SANTA CRUZ - ICOD KM. 49,D,L-D: 24H,TGAS SANTA CATALINA,P,GA+,1.327,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/4264,42.594222,-5.570389,ES,LEÓN,LEON,"PLAZA SAN FRANCISCO, S/N",D,L-V: 08:00-22:00; S-D: 09:00-15:00,CEPSA,P,SP95,1.575,2023-11-20,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/21419,42.202278,-8.754778,ES,PONTEVEDRA,VIGO,"CARRETERA CAMPOSANCOS KM. 0,47",D,L-D: 24H,BALLENOIL,P,SP95,1.487,2023-11-20,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/5747,42.024778,-1.580333,ES,NAVARRA,FONTELLAS,"CARRETERA A-68 KM. 99,82",I,L-V: 06:00-22:00,GALP,P,GA+,1.534,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/10805,28.231306,-14.103778,ES,PALMAS (LAS),TARAJALEJO,CARRETERA CARRETERA GENERAL DE TARAJALEJO KM. 16,N,L-D: 24H,DISA EL CARACOL,P,SP98,1.514,2023-11-20,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/14087,37.361028,-5.989861,ES,SEVILLA,SEVILLA,"AVENIDA RAZA (LA), 66",I,L-D: 24H,REPSOL,P,SP98,1.819,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/8925,41.021389,-4.769778,ES,ÁVILA,NAVA DE AREVALO,"CALLE LARGA, 22",N,L-D: 24H,******,R,GB,1.23,2023-11-12,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/14909,36.791667,-2.706861,ES,ALMERÍA,MOJONERA (LA),CARRETERA N-340 KM. 418,D,L-D: 05:30-23:30,SHELL,P,SP98,1.769,2023-11-20,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/3679,36.743556,-3.513833,ES,GRANADA,MOTRIL,"CALLE PUENTE TOLEDANO, S/N",I,L-D: 06:00-22:00,CEPSA,P,GA,1.589,2023-11-20,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/16926,41.5675,2.176167,ES,BARCELONA,POLIGON INDUSTRIAL RIERA DE CALDES,"CAMI AVINGUDA CAMI REIAL, 32",D,L-D: 24H,BENZOIL,P,SP95,1.499,2023-11-21,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/8628,36.755778,-5.154028,ES,MÁLAGA,RONDA,CARRETERA A-374 (ALGODONALES - RONDA) KM. 33,I,L-V: 09:00-14:00 y 16:00-19:00; S: 09:00-14:00,ALMAZARA DE RONDA,R,GB,1.14,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/16269,41.797222,2.229722,ES,BARCELONA,CENTELLES,"AVENIDA ILDEFONS CERDA, 121",N,L-D: 24H,PETROLIS INDEPENDENTS,P,GA,1.398,2023-11-19,2023-11-22
dieselogasolina.com,https://www.dieselogasolina.com/Buscador/Ficha/19466,43.381861,-4.565167,ES,ASTURIAS,ANDINAS,CARRETERA A-8 KM. 277,D,L-D: 06:00-23:59,CEPSA,P,GLP,0.989,2023-11-20,2023-11-22
